Prof_no,year,month,Longitude_[deg],Latitude_[deg],Temp_[°C],Depth_[m],Trad_QF,ML_QF
64450,1981.0,10.0,-5.7283,76.4267,-1.456,0.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.457,0.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.455,0.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.456,1.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.457,1.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.463,1.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.485,2.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.523,2.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.531,2.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.549,2.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.509,3.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.506,3.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.527,3.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.518,4.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.414,4.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.407,4.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.351,5.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.457,5.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.5,5.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.579,6.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.585,6.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.574,6.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.61,7.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.62,7.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.623,7.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.626,8.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.627,8.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.626,9.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.627,10.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.625,10.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.623,10.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.621,11.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.616,11.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.614,12.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.608,12.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.599,12.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.585,13.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.494,13.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.439,14.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.399,14.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.382,14.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.309,15.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.325,15.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.273,15.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.264,15.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.231,16.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.201,16.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.191,16.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.181,16.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.17,17.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.166,17.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.147,17.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.133,17.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-1.11,18.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.953,18.4,4,0
64450,1981.0,10.0,-5.7283,76.4267,-0.916,18.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.87,19.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.746,19.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.672,19.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.575,20.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.538,20.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.455,20.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.365,21.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.312,21.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.277,21.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.263,22.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.238,22.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.227,22.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.201,23.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.192,23.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.159,23.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.128,23.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,-0.05,24.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.049,24.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.119,24.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.208,24.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.278,25.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.283,25.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.32,25.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.356,26.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.377,26.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.407,26.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.451,27.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.515,27.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.538,27.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.551,27.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.596,28.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.631,28.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.641,28.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.688,29.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.727,29.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.754,29.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.796,30.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.811,30.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.832,31.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.847,31.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.836,31.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.875,32.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.94,32.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.967,32.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.97,32.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.957,32.9,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.944,33.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.91,33.3,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.885,33.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.86,33.7,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.806,34.0,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.742,34.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.765,34.5,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.789,34.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.811,35.2,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.83,35.6,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.835,36.1,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.865,36.4,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.871,36.8,0,0
64450,1981.0,10.0,-5.7283,76.4267,0.873,37.2,0,0
